,Nem,Nem
Nem,Férfi,Nõ
Kor,,
0,1.0,1.0
1,,2.0
4,,1.0
14,,1.0
16,,2.0
18,1.0,1.0
19,4.0,
20,4.0,
21,2.0,3.0
22,2.0,1.0
23,4.0,1.0
24,5.0,5.0
25,7.0,
26,11.0,10.0
27,6.0,5.0
28,9.0,5.0
29,10.0,12.0
30,8.0,4.0
31,13.0,4.0
32,11.0,6.0
33,14.0,6.0
34,19.0,13.0
35,15.0,11.0
36,16.0,15.0
37,17.0,17.0
38,19.0,11.0
39,25.0,10.0
40,30.0,10.0
41,41.0,17.0
42,50.0,26.0
43,51.0,33.0
44,62.0,31.0
45,76.0,32.0
46,72.0,43.0
47,76.0,39.0
48,84.0,51.0
49,91.0,54.0
50,118.0,57.0
51,131.0,58.0
52,141.0,52.0
53,155.0,78.0
54,130.0,86.0
55,192.0,98.0
56,193.0,94.0
57,184.0,95.0
58,208.0,120.0
59,216.0,116.0
60,301.0,149.0
61,295.0,173.0
62,314.0,190.0
63,336.0,195.0
64,437.0,203.0
65,496.0,296.0
66,565.0,321.0
67,500.0,297.0
68,515.0,286.0
69,529.0,305.0
70,553.0,355.0
71,512.0,411.0
72,507.0,419.0
73,569.0,456.0
74,469.0,432.0
75,484.0,435.0
76,562.0,477.0
77,551.0,516.0
78,567.0,575.0
79,516.0,543.0
80,492.0,599.0
81,472.0,572.0
82,427.0,583.0
83,397.0,648.0
84,388.0,577.0
85,346.0,609.0
86,356.0,536.0
87,287.0,519.0
88,265.0,462.0
89,230.0,435.0
90,188.0,389.0
91,146.0,336.0
92,135.0,247.0
93,77.0,214.0
94,67.0,184.0
95,51.0,128.0
96,32.0,87.0
97,22.0,67.0
98,9.0,46.0
99,11.0,29.0
100,6.0,9.0
101,1.0,10.0
102,1.0,2.0
103,2.0,1.0
104,,1.0
